ICES_Area,Metier6_FishingActivity
18,DIV_MOL_0_0_0
18,FPN_LPF_>0_0_0
18,FPO_CRU_>0_0_0
18,FPO_DEF_>0_0_0
18,FPO_FIF_>0_0_0
18,LH_DEF_0_0_0
18,LH_FIF_0_0_0
18,LH_LPF_0_0_0
18,LH_MOL_0_0_0
18,LH_SPF_0_0_0
18,LHM_DEF_0_0_0
18,LHM_FIF_0_0_0
18,LHM_LPF_0_0_0
18,LHM_MOL_0_0_0
18,LHM_SPF_0_0_0
18,LHP_DEF_0_0_0
18,LHP_FIF_0_0_0
18,LHP_LPF_0_0_0
18,LHP_MOL_0_0_0
18,LHP_SPF_0_0_0
18,LLD_DWF_0_0_0
18,LLD_LPF_0_0_0
18,LLS_DEF_0_0_0
18,LLS_FIF_0_0_0
18,LLS_MOL_0_0_0
18,LLS_SPF_0_0_0
18,LTL_LPF_0_0_0
18,MIS_CEP_0_0_0
18,MIS_CRU_0_0_0
18,MIS_DEF_0_0_0
18,MIS_DWF_0_0_0
18,MIS_LPF_0_0_0
18,MIS_MCF_0_0_0
18,MIS_MIS_0_0_0
18,MIS_MOL_0_0_0
18,MIS_SPF_0_0_0
18,OTB_CEP_>=120_0_0
18,OTB_CEP_>0_0_0
18,OTB_CEP_70-119_0_0
18,OTB_CRU_>=120_0_0
18,OTB_CRU_>0_0_0
18,OTB_CRU_32-69_0_0
18,OTB_CRU_70-119_0_0
18,OTB_DEF_>=120_0_0
18,OTB_DEF_>0_0_0
18,OTB_DEF_70-119_0_0
18,OTB_MCF_>=120_0_0
18,OTB_MCF_>0_0_0
18,OTB_MCF_70-119_0_0
18,OTB_MDD_>=120_0_0
18,OTB_MDD_>0_0_0
18,OTM_DEF_>=120_0_0
18,OTM_DEF_>0_0_0
18,OTM_LPF_>=120_0_0
18,OTM_LPF_>0_0_0
18,OTM_LPF_70-119_0_0
18,OTM_MCF_>=120_0_0
18,OTM_MCF_>0_0_0
18,OTM_MCF_70-119_0_0
18,OTM_SPF_>=120_0_0
18,OTM_SPF_>0_0_0
18,OTM_SPF_32-69_0_0
18,OTM_SPF_70-119_0_0
18,PS_LPF_>=120_0_0
18,PS_LPF_>0_0_0
18,PS_LPF_10-31_0_0
